fips,county,state,units_prior,units_current,units_change_pct,sf_prior,sf_current,sf_change_pct,mf_prior,mf_current,mf_change_pct,reported_share_pct,headline_misleading
06037,"Los Angeles County",06,11000,17045,55,5781,5832,0.9,5219,11213,114.8,90.2,false
48201,"Harris County",48,18754,16432,-12.4,10831,10469,-3.3,7923,5963,-24.7,99.1,false
04013,"Maricopa County",04,18313,14749,-19.5,10992,9301,-15.4,7321,5448,-25.6,94.8,false
48439,"Tarrant County",48,9769,10683,9.4,5716,5548,-2.9,4053,5135,26.7,98.4,true
37183,"Wake County",37,9006,10004,11.1,5248,5290,0.8,3758,4714,25.4,91.3,false
48085,"Collin County",48,12469,8943,-28.3,7530,5972,-20.7,4939,2971,-39.8,91.3,false
48339,"Montgomery County",48,9199,7352,-20.1,7587,6965,-8.2,1612,387,-76,97.3,false
48113,"Dallas County",48,7207,6996,-2.9,2886,3034,5.1,4321,3962,-8.3,98.8,false
48453,"Travis County",48,8085,6769,-16.3,3166,3359,6.1,4919,3410,-30.7,91.4,false
53033,"King County",53,3600,6740,87.2,1532,1490,-2.7,2068,5250,153.9,93.3,true
48157,"Fort Bend County",48,7047,6676,-5.3,5821,5836,0.3,1226,840,-31.5,94.3,false
12071,"Lee County",12,9112,6639,-27.1,6376,4505,-29.3,2736,2134,-22,100,false
12086,"Miami-Dade County",12,9592,6202,-35.3,1390,1345,-3.2,8202,4857,-40.8,85.1,false
13121,"Fulton County",13,5379,6124,13.9,1473,1304,-11.5,3906,4820,23.4,90.1,true
36005,"Bronx County",36,3109,5779,85.9,2,7,250,3107,5772,85.8,100,false
06073,"San Diego County",06,6827,5547,-18.7,2046,1876,-8.3,4781,3671,-23.2,93.1,false
12101,"Pasco County",12,5286,5547,4.9,3764,3851,2.3,1522,1696,11.4,99.2,false
39049,"Franklin County",39,7178,5402,-24.7,1056,1111,5.2,6122,4291,-29.9,99.7,false
12099,"Palm Beach County",12,2675,5399,101.8,1497,2048,36.8,1178,3351,184.5,94.1,false
36047,"Kings County",36,3390,5360,58.1,13,14,7.7,3377,5346,58.3,100,false
32003,"Clark County",32,9094,5277,-42,6193,4478,-27.7,2901,799,-72.5,99.9,false
12081,"Manatee County",12,4867,4904,0.8,3125,3859,23.5,1742,1045,-40,99.9,false
36081,"Queens County",36,1026,4896,377.2,24,27,12.5,1002,4869,385.9,100,false
12057,"Hillsborough County",12,5317,4838,-9,2617,2417,-7.6,2700,2421,-10.3,100,false
04021,"Pinal County",04,5744,4798,-16.5,4721,4526,-4.1,1023,272,-73.4,96.5,false
06065,"Riverside County",06,5754,4469,-22.3,3863,3736,-3.3,1891,733,-61.2,81,false
12095,"Orange County",12,8468,4309,-49.1,3022,2502,-17.2,5446,1807,-66.8,99.8,false
12105,"Polk County",12,5547,4294,-22.6,4169,4071,-2.4,1378,223,-83.8,85.9,false
48215,"Hidalgo County",48,4451,4024,-9.6,2739,2818,2.9,1712,1206,-29.6,88.1,false
53053,"Pierce County",53,1889,3970,110.2,1138,1162,2.1,751,2808,273.9,97.4,false
08031,"Denver County",08,2197,3911,78,565,486,-14,1632,3425,109.9,100,true
06085,"Santa Clara County",06,2108,3808,80.6,1084,1096,1.1,1024,2712,164.8,98,false
48029,"Bexar County",48,4152,3724,-10.3,3190,3061,-4,962,663,-31.1,93,false
12083,"Marion County",12,4043,3703,-8.4,3588,3645,1.6,455,58,-87.3,99.9,false
40109,"Oklahoma County",40,4218,3654,-13.4,3065,3383,10.4,1153,271,-76.5,86.2,false
06067,"Sacramento County",06,3830,3653,-4.6,3117,2798,-10.2,713,855,19.9,99.6,false
16001,"Ada County",16,3354,3637,8.4,2988,3103,3.8,366,534,45.9,100,false
