state,decisions,demolished,raised,demolished_share
Louisiana,4342,981,3361,0.2259
Florida,1218,405,813,0.3325
Virginia,805,326,479,0.4050
New Jersey,1649,683,966,0.4142
Washington,477,244,233,0.5115
North Carolina,2993,2141,852,0.7153
South Carolina,321,264,57,0.8224
Alabama,485,410,75,0.8454
New York,1333,1134,199,0.8507
Texas,4065,3587,478,0.8824
Ohio,968,900,68,0.9298
Pennsylvania,1278,1199,79,0.9382
Mississippi,378,355,23,0.9392
Georgia,580,548,32,0.9448
Kentucky,1170,1124,46,0.9607
Illinois,949,915,34,0.9642
Wisconsin,605,591,14,0.9769
North Dakota,354,347,7,0.9802
Missouri,773,760,13,0.9832
West Virginia,1182,1165,17,0.9856
Tennessee,645,643,2,0.9969
Indiana,870,868,2,0.9977
Iowa,1681,1679,2,0.9988
Oklahoma,488,488,0,1.0000
Kansas,395,395,0,1.0000
