zip,state,county,decisions,demolished,raised,first_fy,last_fy
77040,Texas,Harris,279,268,11,2001,2019
50613,Iowa,Black Hawk,183,183,0,1999,2020
28501,North Carolina,Lenoir,181,181,0,1999,2018
70072,Louisiana,Jefferson,176,0,176,2003,2024
78840,Texas,Val Verde,154,154,0,1998,2010
70003,Louisiana,Jackson,153,0,153,2003,2024
07470,New Jersey,Passaic,153,153,0,2004,2023
40211,Kentucky,Jefferson,149,149,0,2007,2011
77088,Texas,Harris,146,132,14,2001,2024
27530,North Carolina,Wayne,143,143,0,1999,2024
77546,Texas,Galveston,139,127,12,2001,2019
78744,Texas,Travis,137,137,0,2005,2014
77032,Texas,Harris,134,134,0,2001,2017
77038,Texas,Harris,118,118,0,2001,2022
66749,Kansas,Allen,117,117,0,2007,2007
70458,Louisiana,St. Tammany,113,16,97,1998,2022
53168,Wisconsin,Kenosha,112,112,0,1999,2019
77705,Texas,Jeff Davis,106,106,0,2008,2017
13421,New York,Oneida,105,105,0,2011,2011
61115,Illinois,Winnebago,101,101,0,2007,2020
70067,Louisiana,Jefferson,101,0,101,2005,2022
77039,Texas,Harris,100,100,0,2001,2017
70726,Louisiana,,100,45,55,2003,2022
46733,Indiana,Adams,99,99,0,1997,2020
50401,Iowa,Cerro Gordo,97,97,0,2004,2013
42240,Kentucky,Christian,96,93,3,2000,2020
77581,Texas,Brazoria,95,94,1,2001,2017
98065,Washington,King,94,13,81,1997,2014
46151,Indiana,Morgan,93,93,0,2008,2018
17815,Pennsylvania,Columbia,93,91,2,2006,2022
70123,Louisiana,Jefferson,92,0,92,2003,2022
70460,Louisiana,St. Tammany,92,19,73,2000,2022
70462,Louisiana,,91,18,73,2003,2022
08008,New Jersey,,90,1,89,1997,2016
50317,Iowa,Polk,90,90,0,2008,2018
38301,Tennessee,Madison,90,90,0,2003,2003
34668,Florida,Pasco,89,2,87,1996,2025
70056,Louisiana,Jefferson,88,1,87,2003,2021
28530,North Carolina,Pitt,87,86,1,1999,2018
67301,Kansas,Montgomery,87,87,0,2007,2007
73750,Oklahoma,Kingfisher,86,86,0,2001,2010
77013,Texas,Harris,85,85,0,2001,2017
70344,Louisiana,Terrebonne,83,10,73,2003,2021
50677,Iowa,Bremer,83,83,0,1997,2008
46802,Indiana,Allen,82,82,0,1997,2020
70363,Louisiana,Terrebonne,81,11,70,2003,2022
73141,Oklahoma,Oklahoma,81,81,0,2006,2017
36323,Alabama,Coffee,81,81,0,2016,2016
53538,Wisconsin,Jefferson,80,80,0,1998,2019
60016,Illinois,Cook,80,74,6,2007,2017
63638,Missouri,Reynolds,80,80,0,2002,2007
10306,New York,Richmond,80,80,0,2011,2013
08835,New Jersey,Somerset,79,70,9,1999,2022
70065,Louisiana,Jefferson,78,0,78,2003,2024
77093,Texas,Harris,76,76,0,2001,2017
97064,Oregon,Columbia,76,32,44,2008,2009
29526,South Carolina,Horry,75,70,5,1999,2018
23072,Virginia,Gloucester,75,22,53,2003,2019
27886,North Carolina,Edgecombe,75,56,19,1999,2024
27858,North Carolina,Pitt,73,73,0,1999,2011
70377,Louisiana,Terrebonne,70,16,54,2003,2021
70058,Louisiana,Jefferson,69,0,69,2003,2024
46131,Indiana,Johnson,68,68,0,2008,2008
27893,North Carolina,Wilson,67,67,0,1999,2025
70461,Louisiana,St. Tammany,66,26,40,2003,2022
77022,Texas,Harris,66,60,6,2001,2019
27889,North Carolina,Beaufort,66,20,46,1999,2024
13838,New York,Delaware,66,61,5,2006,2011
52405,Iowa,Linn,66,66,0,2008,2008
77554,Texas,Galveston,64,51,13,2003,2019
77617,Texas,Galveston,64,64,0,2008,2008
37209,Tennessee,Davidson,64,64,0,2010,2011
45840,Ohio,Hancock,63,63,0,2006,2020
13790,New York,Broome,63,63,0,2006,2011
27810,North Carolina,Beaufort,61,4,57,1999,2024
17057,Pennsylvania,Dauphin,61,61,0,2003,2021
58104,North Dakota,Cass,61,61,0,2009,2020
45875,Ohio,Putnam,61,61,0,2006,2019
45238,Ohio,Hamilton,61,61,0,2001,2019
13760,New York,Broome,61,61,0,2005,2011
77614,Texas,Newton,61,61,0,2008,2016
77396,Texas,Harris,60,60,0,2001,2017
70449,Louisiana,,60,19,41,2003,2022
51012,Iowa,Cherokee,59,59,0,2013,2024
70040,Louisiana,Plaquemines,58,2,56,2005,2021
33708,Florida,Pinellas,58,1,57,1996,2025
28358,North Carolina,Robeson,57,49,8,2017,2024
98223,Washington,Snohomish,56,48,8,2001,2022
77089,Texas,Harris,56,49,7,2001,2024
63957,Missouri,Wayne,56,56,0,1997,2008
39562,Mississippi,Jackson,56,55,1,2003,2022
06824,Connecticut,Fairfield,56,1,55,2012,2021
70036,Louisiana,,55,0,55,2005,2022
11757,New York,Suffolk,55,35,20,1999,2023
07035,New Jersey,Morris,55,48,7,2001,2023
13850,New York,Broome,55,54,1,2006,2011
61104,Illinois,Winnebago,55,55,0,2007,2008
51246,Iowa,Lyon,55,55,0,2014,2024
40059,Kentucky,Oldham,54,26,28,2008,2021
70605,Louisiana,Calcasieu,54,22,32,2005,2020
17701,Pennsylvania,Lycoming,54,54,0,2000,2019
27803,North Carolina,Nash,54,54,0,1999,1999
25177,West Virginia,Kanawha,52,52,0,2013,2025
37218,Tennessee,Davidson,52,52,0,2010,2020
27801,North Carolina,Nash,52,52,0,1999,2008
18640,Pennsylvania,Luzerne,52,52,0,2011,2011
39180,Mississippi,Warren,51,51,0,1997,2011
63069,Missouri,Franklin,51,51,0,2007,2017
51640,Iowa,Fremont,50,50,0,2019,2019
77074,Texas,Harris,49,31,18,2008,2019
77505,Texas,Harris,48,48,0,1999,2017
70001,Louisiana,Jefferson,48,0,48,2003,2021
02066,Massachusetts,Plymouth,48,1,47,1997,2023
77015,Texas,Harris,48,47,1,2001,2018
44875,Ohio,Richland,48,48,0,2005,2012
18655,Pennsylvania,Luzerne,48,48,0,2010,2011
37115,Tennessee,Davidson,48,48,0,2010,2015
62969,Illinois,Alexander,48,48,0,2010,2010
77037,Texas,Harris,47,44,3,2001,2019
70006,Louisiana,,47,0,47,2005,2024
44125,Ohio,Cuyahoga,47,19,28,2006,2019
58325,North Dakota,Benson,47,47,0,1999,1999
24801,West Virginia,,46,46,0,2001,2025
37211,Tennessee,Davidson,46,46,0,1999,2021
28504,North Carolina,Lenoir,46,46,0,1999,2018
50701,Iowa,Black Hawk,46,46,0,2005,2017
51561,Iowa,Fremont,46,46,0,2019,2019
08260,New Jersey,Cape May,45,0,45,2013,2021
63901,Missouri,Butler,45,45,0,2002,2007
27802,North Carolina,Edgecombe,45,45,0,1999,1999
27834,North Carolina,Pitt,45,45,0,1999,2017
13903,New York,Broome,45,44,1,2005,2011
06880,Connecticut,Fairfield,44,3,41,1997,2015
77080,Texas,Harris,44,37,7,2003,2019
47201,Indiana,Bartholomew,44,44,0,2008,2008
10305,New York,Richmond,44,44,0,2011,2013
70433,Louisiana,St. Tammany,43,2,41,1998,2022
70607,Louisiana,Calcasieu,43,6,37,2004,2020
48125,Michigan,Wayne,42,42,0,2014,2023
70448,Louisiana,St. Tammany,42,5,37,1997,2021
70053,Louisiana,Jefferson,42,0,42,1999,2021
77090,Texas,Harris,41,41,0,2001,2017
19067,Pennsylvania,Bucks,41,8,33,2004,2019
70125,Louisiana,Orleans,41,0,41,2001,2022
08203,New Jersey,Atlantic,41,0,41,2013,2019
81050,Colorado,Otero,41,41,0,1999,1999
78022,Texas,Live Oak,41,41,0,2002,2006
07054,New Jersey,Morris,41,20,21,2011,2011
70364,Louisiana,Terrebonne,40,9,31,2001,2021
08050,New Jersey,Ocean,40,0,40,2000,2016
27960,North Carolina,Hyde,40,0,40,2017,2025
52801,Iowa,Scott,40,40,0,2001,2001
52246,Iowa,Johnson,40,40,0,2008,2020
80540,Colorado,Boulder,40,38,2,2013,2013
43512,Ohio,Defiance,39,39,0,2006,2020
34652,Florida,Pasco,39,9,30,1998,2025
63645,Missouri,Madison,39,39,0,1999,2002
77060,Texas,Harris,38,38,0,2001,2017
70353,Louisiana,Terrebonne,38,11,27,2003,2021
70083,Louisiana,Plaquemines,38,0,38,2005,2021
70445,Louisiana,St. Tammany,38,5,33,2003,2022
28716,North Carolina,Haywood,38,35,3,2003,2024
07424,New Jersey,Passaic,38,27,11,2009,2023
07440,New Jersey,Morris,38,16,22,2011,2019
50644,Iowa,Buchanan,38,38,0,1999,2004
13748,New York,Broome,38,38,0,2005,2011
28425,North Carolina,Pender,37,29,8,1999,2024
71037,Louisiana,Bossier,37,34,3,1998,2017
70814,Louisiana,E. Baton Rouge,37,32,5,2003,2022
77650,Texas,Galveston,37,32,5,2008,2015
28578,North Carolina,Wayne,37,37,0,1999,2024
27804,North Carolina,Nash,37,37,0,1999,2017
54631,Wisconsin,Crawford,37,31,6,2007,2012
53959,Wisconsin,Sauk,37,37,0,2008,2020
27983,North Carolina,Bertie,36,30,6,1999,2024
67357,Kansas,Labette,36,36,0,1999,2003
77092,Texas,Harris,36,34,2,2001,2017
70510,Louisiana,Vermilion,36,14,22,2005,2019
77611,Texas,Orange,36,35,1,2001,2019
46143,Indiana,Johnson,36,36,0,2008,2018
70397,Louisiana,Terrebonne,35,2,33,2003,2021
28515,North Carolina,Pamlico,35,13,22,2003,2024
40213,Kentucky,Jefferson,35,35,0,2010,2019
08226,New Jersey,Cape May,35,0,35,2003,2021
31406,Georgia,Chatham,35,31,4,1999,2024
28721,North Carolina,Haywood,35,31,4,2003,2024
11901,New York,,35,27,8,1998,2013
52040,Iowa,Dubuque,35,35,0,1999,2022
77535,Texas,Liberty,35,35,0,2001,2001
44820,Ohio,Crawford,35,35,0,2003,2020
00669,Puerto Rico,Lares,35,35,0,2004,2004
44215,Ohio,Medina,34,34,0,2001,2003
07004,New Jersey,Essex,34,22,12,2005,2023
52722,Iowa,Scott,34,34,0,2015,2020
74066,Oklahoma,Creek,34,34,0,2001,2001
35206,Alabama,Jefferson,34,34,0,2003,2005
63935,Missouri,Ripley,34,34,0,2007,2017
51526,Iowa,Pottawattamie,34,34,0,2011,2019
34667,Florida,Pasco,33,2,31,1999,2025
40218,Kentucky,Jefferson,33,33,0,2011,2021
41501,Kentucky,,33,33,0,2009,2025
41339,Kentucky,,33,33,0,2022,2022
63130,Missouri,St. Louis,33,33,0,2004,2022
07442,New Jersey,Passaic,33,23,10,2010,2023
78130,Texas,Guadalupe,33,32,1,1999,2016
18657,Pennsylvania,Wyoming,33,33,0,2003,2017
70043,Louisiana,St. Bernard,33,2,31,2005,2012
70094,Louisiana,Jefferson,32,0,32,2003,2024
77539,Texas,Galveston,32,0,32,2008,2019
70663,Louisiana,Calcasieu,32,16,16,2002,2020
19040,Pennsylvania,Montgomery,32,32,0,2001,2021
27885,North Carolina,Hyde,32,7,25,1999,2025
24868,West Virginia,,32,32,0,2001,2025
06460,Connecticut,New Haven,32,1,31,1999,2014
70454,Louisiana,Tangipahoa,32,12,20,2008,2022
37214,Tennessee,Davidson,32,32,0,2010,2019
45014,Ohio,Butler,32,32,0,2000,2009
13827,New York,Tioga,32,22,10,2011,2022
77429,Texas,Harris,31,31,0,1997,2017
77338,Texas,Harris,31,30,1,2001,2017
70358,Louisiana,De Soto,31,0,31,2005,2021
27824,North Carolina,Hyde,31,3,28,2003,2025
00000,Nebraska,,31,11,20,1997,2020
70769,Louisiana,Ascension,31,10,21,2000,2022
70533,Louisiana,Vermilion,31,11,20,2005,2019
74008,Oklahoma,Tulsa,31,31,0,2002,2008
25045,West Virginia,Kanawha,31,30,1,2003,2017
16037,Pennsylvania,Butler,31,31,0,2003,2004
99741,Alaska,Yukon-Koyukuk (CA),31,0,31,2013,2013
70645,Louisiana,,30,0,30,2005,2020
70301,Louisiana,Lafourche,30,12,18,2001,2022
28472,North Carolina,Columbus,30,29,1,1999,2024
28560,North Carolina,Craven,30,6,24,1999,2024
27915,North Carolina,Dare,30,0,30,2002,2024
32174,Florida,Volusia,30,8,22,2001,2025
57273,South Dakota,Day,30,30,0,2001,2019
52349,Iowa,Benton,30,30,0,2004,2018
28428,North Carolina,New Hanover,30,2,28,1999,2024
44720,Ohio,Stark,30,30,0,2012,2018
98531,Washington,Lewis,30,2,28,2001,2018
74701,Oklahoma,Bryan,30,30,0,2001,2006
24870,West Virginia,Wyoming,30,30,0,2001,2008
68064,Nebraska,Douglas,30,30,0,2007,2019
23662,Virginia,Poquoson (city),29,3,26,2003,2014
77096,Texas,Harris,29,6,23,2001,2019
77565,Texas,Galveston,29,0,29,2008,2019
40219,Kentucky,Jefferson,29,29,0,2001,2018
70611,Louisiana,Calcasieu,29,9,20,2001,2020
24860,West Virginia,Wyoming,29,29,0,2001,2025
32210,Florida,Duval,29,26,3,1998,2019
