geoid,county,state,population,landSqMi,housingUnits,pctPre1950,pctPre1980,radonZone,stormEvents,eventsPerSqMi,hail,tornado,flood,thunderstormWind,mortgagedHouseholds,pctUnder1000,pctOver3000
01073,JEFFERSON,AL,673766,1111.540000,309542,0.152583,0.580729,2,305,0.274394,46,14,50,158,104344,0.347907,0.070095
04013,MARICOPA,AZ,4418836,9202.016000,1850862,0.020754,0.293706,2,1282,0.139317,82,11,438,672,742886,0.500007,0.038793
04019,PIMA,AZ,1042716,9188.683000,475378,0.046754,0.394635,2,549,0.059747,54,7,187,246,166974,0.594829,0.025561
06001,ALAMEDA,CA,1678284,737.459000,630726,0.259923,0.663940,2,170,0.230521,19,0,125,3,226619,0.321015,0.112815
06013,CONTRA COSTA,CA,1165466,716.896000,426585,0.107981,0.537968,2,70,0.097643,12,0,44,3,199602,0.296645,0.122970
06019,FRESNO,CA,1007944,5958.383000,342003,0.097049,0.486893,2,468,0.078545,2,5,263,34,119869,0.435158,0.057963
06029,KERN,CA,908530,8134.673000,304481,0.085661,0.439098,2,445,0.054704,8,3,308,18,111333,0.509346,0.039530
06037,LOS ANGELES,CA,10005712,4060.246000,3624084,0.239860,0.711410,2,143,0.035220,9,5,89,23,1074781,0.395098,0.111208
06059,ORANGE,CA,3183647,792.861000,1138473,0.044310,0.573776,3,119,0.150089,3,0,65,9,412458,0.372598,0.101210
06065,RIVERSIDE,CA,2416838,7209.253000,860042,0.037097,0.302432,2,380,0.052710,7,6,206,56,363027,0.341622,0.070020
06067,SACRAMENTO,CA,1584652,965.280000,593616,0.086943,0.492148,3,133,0.137784,2,4,110,2,231419,0.438136,0.051422
06071,SAN BERNARDINO,CA,2179979,20068.167000,738535,0.074043,0.437694,2,655,0.032639,13,3,443,61,286029,0.395789,0.070500
06073,SAN DIEGO,CA,3295981,4210.460000,1240607,0.072169,0.505836,3,445,0.105689,11,1,242,52,441362,0.349468,0.099143
06075,SAN FRANCISCO,CA,873808,46.700000,411542,0.540730,0.772060,2,191,4.089936,10,0,74,4,89830,0.279138,0.162496
06077,SAN JOAQUIN,CA,778512,1392.238000,256826,0.118263,0.451426,3,48,0.034477,2,1,33,1,104105,0.405696,0.058095
06081,SAN MATEO,CA,763661,448.606000,285558,0.188578,0.733298,2,85,0.189476,9,0,42,9,104837,0.305655,0.132873
06085,SANTA CLARA,CA,1934625,1291.084000,694209,0.081249,0.604318,2,189,0.146389,33,0,115,3,243889,0.377606,0.088475
06111,VENTURA,CA,843136,1840.775000,294651,0.064076,0.562958,1,57,0.030965,0,1,44,7,123712,0.361776,0.113174
08031,DENVER,CO,715210,153.074000,352593,0.224375,0.573843,1,194,1.267361,142,4,9,36,120690,0.278664,0.162002
08041,EL PASO,CO,729693,2126.416000,296753,0.062985,0.362497,1,1128,0.530470,717,10,87,52,136354,0.227760,0.159431
12011,BROWARD,FL,1940829,1202.909000,863128,0.018925,0.503287,3,284,0.236094,54,29,73,77,277921,0.229900,0.482623
12031,DUVAL,FL,994675,762.617000,445946,0.090477,0.409756,3,692,0.907402,69,12,93,293,151894,0.271828,0.118234
12057,HILLSBOROUGH,FL,1458282,1022.502000,618220,0.047336,0.313659,2,118,0.115403,13,7,20,60,225704,0.204383,0.218835
12071,LEE,FL,759922,781.026000,430243,0.010108,0.207064,3,108,0.138280,14,17,20,38,122692,0.257914,0.223307
12086,MIAMI-DADE,FL,2698679,1899.925000,1085414,0.078524,0.506761,2,333,0.175270,52,16,131,75,300285,0.230791,0.491846
12095,ORANGE,FL,1428790,902.992000,576450,0.029583,0.270856,3,156,0.172759,47,7,11,63,197983,0.190228,0.204007
12099,PALM BEACH,FL,1489461,1964.292000,713855,0.028234,0.337431,3,304,0.154763,48,36,66,91,222321,0.174698,0.460892
12103,PINELLAS,FL,958822,273.782000,518180,0.063410,0.591144,3,185,0.675720,5,17,8,58,152710,0.204689,0.271574
12105,POLK,FL,721918,1798.119000,329750,0.046508,0.318553,2,101,0.056170,28,10,1,37,106800,0.257425,0.126358
13067,COBB,GA,764915,339.706000,311556,0.016639,0.279799,1,141,0.415065,22,4,13,69,140780,0.272553,0.086696
13089,DEKALB,GA,763614,267.683000,328614,0.059477,0.454539,1,202,0.754624,14,5,17,127,118200,0.275288,0.088748
13121,FULTON,GA,1065539,526.740000,500404,0.093311,0.332567,1,246,0.467024,30,11,50,155,178676,0.295222,0.132021
13135,GWINNETT,GA,956460,431.124000,336078,0.007817,0.141205,1,222,0.514933,20,1,12,139,152940,0.256087,0.078848
15003,HONOLULU,HI,1013620,600.786000,372329,0.067862,0.579450,3,339,0.564261,1,1,68,4,131733,0.447997,0.142356
17031,COOK,IL,5272775,944.925000,2270349,0.347833,0.741363,2,1034,1.094267,171,33,175,519,754757,0.398302,0.061986
17043,DUPAGE,IL,932368,327.835000,366099,0.079875,0.543244,2,395,1.204874,58,21,62,157,167057,0.352814,0.057400
17097,LAKE,IL,713483,443.605000,270083,0.121178,0.468215,2,339,0.764193,64,6,39,119,124587,0.327065,0.093276
17197,WILL,IL,696135,835.875000,252684,0.093544,0.372046,2,438,0.524002,89,33,58,199,138360,0.309468,0.046112
18097,MARION,IN,977041,395.990000,439034,0.213885,0.593234,1,279,0.704563,67,4,41,125,152407,0.398151,0.041514
21111,JEFFERSON,KY,782833,380.830000,357923,0.201806,0.629853,1,461,1.210514,60,9,120,244,132222,0.312338,0.070730
25009,ESSEX,MA,808897,492.513000,328460,0.392081,0.694383,1,232,0.471054,20,0,79,117,140628,0.245719,0.114351
25017,MIDDLESEX,MA,1629857,817.866000,660814,0.371510,0.690562,1,495,0.605234,47,3,138,295,259350,0.267010,0.111544
25021,NORFOLK,MA,725648,396.103000,293420,0.325803,0.678689,2,237,0.598329,15,5,77,126,130720,0.246657,0.137569
25025,SUFFOLK,MA,796326,58.253000,353930,0.510042,0.733521,3,269,4.617788,6,0,51,65,82060,0.323982,0.189325
25027,WORCESTER,MA,861566,1510.677000,353405,0.334427,0.646771,1,511,0.338259,62,10,140,281,151330,0.286526,0.058990
24005,BALTIMORE,MD,854450,598.358000,350296,0.142839,0.594517,1,620,1.036169,45,7,266,299,148347,0.420103,0.056631
24031,MONTGOMERY,MD,1061279,493.143000,405127,0.089725,0.491325,1,779,1.579664,58,7,280,425,179919,0.365398,0.090124
24033,PRINCE GEORGE'S,MD,965886,482.643000,362440,0.096005,0.543091,2,346,0.716886,16,2,116,212,169658,0.318635,0.076902
26099,MACOMB,MI,880347,479.348000,371723,0.083786,0.580123,3,181,0.377596,26,1,23,91,167873,0.479654,0.024256
26125,OAKLAND,MI,1274114,867.393000,557978,0.128912,0.589358,2,229,0.264010,25,4,13,157,249588,0.367177,0.059442
26163,WAYNE,MI,1792549,611.835000,796119,0.349178,0.805209,3,248,0.405338,23,9,32,132,230631,0.453400,0.042388
27053,HENNEPIN,MN,1281172,554.006000,564441,0.235837,0.602596,1,370,0.667863,132,3,13,136,234621,0.262321,0.138849
29095,JACKSON,MO,716764,604.520000,333385,0.239270,0.650305,1,480,0.794018,127,16,80,206,111887,0.234540,0.085568
29189,ST. LOUIS,MO,1003734,507.995000,445472,0.161884,0.692239,2,270,0.531501,77,11,32,106,185858,0.232097,0.124746
37119,MECKLENBURG,NC,1114693,523.608000,491721,0.043712,0.259838,3,228,0.435440,38,5,35,116,189050,0.375657,0.058963
37183,WAKE,NC,1128357,834.611000,481999,0.028753,0.187776,2,650,0.778806,122,5,156,300,213356,0.345240,0.054763
34003,BERGEN,NJ,955459,232.788000,368535,0.301239,0.746211,2,342,1.469148,42,0,167,120,143600,0.300870,0.099589
34013,ESSEX,NJ,863448,126.083000,335550,0.385463,0.749426,2,118,0.935891,2,1,75,40,97198,0.269399,0.124776
34017,HUDSON,NJ,723485,46.194000,317032,0.362254,0.636179,2,135,2.922457,0,0,67,14,60723,0.374224,0.102416
